,time,P,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,price_per_kwh,dishwasher,ev,freezer,grid export,grid import,heat pump,pv,refrigerator,washing machine,total energy consumption,energy balance
8652,12-26 12:10:00,1992.43875,262.243125,137.396875,4.4575,18.12,7.63625,12.301875,0.0,0.26706,46.053333333333335,1195.852,190.96741666666665,9630.935083333334,5107.792333333333,1325.55525,12373.264916666667,72.55491666666667,49.45433333333333,2880.4372499999995,7850.122166666667
8653,12-26 13:10:00,1859.58,225.48625,145.963125,4.4725,19.35,8.033125,12.426875,0.0,0.26706,46.053333333333335,1195.852,190.98383333333334,9632.305833333334,5108.0143333333335,1325.7915833333334,12375.596583333332,72.57383333333334,49.45433333333333,2880.7089166666665,7851.305083333333
8654,12-26 14:10:00,2052.315,282.8375,129.1,4.383125,18.01,8.325,12.48375,0.0,0.26706,46.053333333333335,1195.852,190.99591666666666,9634.409166666666,5108.184583333333,1326.0488333333333,12377.876416666666,72.57433333333334,49.45433333333333,2880.9787499999998,7851.651833333333
8655,12-26 15:10:00,1627.8825,212.684375,112.58625,3.314375,14.25,8.414375,12.460625,0.0,0.26706,46.053333333333335,1196.01875,191.01233333333334,9634.851666666667,5108.89025,1326.4868333333334,12378.494833333332,72.59133333333334,49.45433333333333,2881.6169166666664,7852.533416666666
8656,12-26 16:10:00,1121.82,155.42000000000002,72.48125,1.84625,8.42,8.43375,12.345,0.0,0.26706,46.053333333333335,1196.5401666666667,191.02566666666667,9634.853333333333,5110.10825,1326.8435833333333,12378.526666666667,72.59866666666666,49.45433333333333,2882.51575,7853.781583333334
8657,12-26 17:10:00,2.1075,0.0,0.989375,0.025,0.06,8.196875,12.238125,0.0,0.26706,46.053333333333335,1197.1142499999999,191.03916666666666,9634.853333333333,5111.4189166666665,1327.1357500000001,12378.526666666667,72.604,49.45433333333333,2883.400833333333,7855.092250000001
8658,12-26 18:10:00,0.0,0.0,0.0,0.0,0.0,7.7943750000000005,12.318125,0.0,0.26706,46.053333333333335,1197.4153333333334,191.05475,9634.853333333333,5112.7210000000005,1327.603,12378.526666666667,72.62191666666666,49.45433333333333,2884.2026666666666,7856.394333333334
8659,12-26 19:10:00,0.0,0.0,0.0,0.0,0.0,7.6375,12.460625,0.0,0.26706,46.053333333333335,1197.5575833333332,191.0675,9634.853333333333,5113.566,1327.8990833333332,12378.526666666667,72.62233333333334,49.45433333333333,2884.6541666666667,7857.239333333334
8660,12-26 20:10:00,0.0,0.0,0.0,0.0,0.0,7.50375,12.646875,0.0,0.26706,46.053333333333335,1197.611,191.083,9634.853333333333,5114.332583333334,1328.1638333333333,12378.526666666667,72.63866666666667,49.45433333333333,2885.004166666666,7858.005916666668
8661,12-26 21:10:00,0.0,0.0,0.0,0.0,0.0,7.345625,12.745000000000001,0.0,0.20458,46.053333333333335,1197.611,191.09516666666664,9634.853333333333,5115.157416666667,1328.4714166666665,12378.526666666667,72.64566666666667,49.45433333333333,2885.3309166666663,7858.830750000001
8662,12-26 22:10:00,0.0,0.0,0.0,0.0,0.0,7.1425,12.805,0.0,0.20458,46.053333333333335,1197.611,191.10941666666668,9634.853333333333,5115.965583333334,1328.7409166666666,12378.526666666667,72.65066666666667,49.45433333333333,2885.619666666667,7859.638916666667
8663,12-26 23:10:00,0.0,0.0,0.0,0.0,0.0,7.124375,13.081875,0.0,0.20458,46.053333333333335,1197.611,191.12366666666665,9634.853333333333,5116.6722500000005,1329.0686666666668,12378.526666666667,72.66799999999999,49.45433333333333,2885.979,7860.345583333335
8664,12-27 00:10:00,0.0,0.0,0.0,0.0,0.0,7.077500000000001,13.115,0.0,0.20458,46.053333333333335,1197.611,191.13658333333333,9634.853333333333,5117.33525,1329.3799999999999,12378.526666666667,72.66916666666667,49.45433333333333,2886.3044166666664,7861.008583333333
8665,12-27 01:10:00,0.0,0.0,0.0,0.0,0.0,7.07125,13.150625,0.0,0.20458,46.053333333333335,1197.611,191.15366666666668,9634.853333333333,5118.087,1329.723,12378.526666666667,72.68483333333333,49.45433333333333,2886.6801666666665,7861.7603333333345
